Driver,h0_exp,R2_exp,RMSE_exp,logL_exp,AIC_exp,BIC_exp,a_lin,R2_lin,RMSE_lin,logL_lin,AIC_lin,BIC_lin,Age,Gender,DayNight,dRMSE,dAIC,dBIC,winner_AIC,AIC_strength
23,1.9532740946602,-1.08762070603526,0.164485039954046,1254.10465014527,-2506.20930029054,-2500.12319775487,-0.183074829625029,-6.51245489825004,0.312026547403609,-826.128188767844,1654.25637753569,1660.34248007136,A,F,D,0.147541507449563,4160.46567782623,4160.46567782623,exp,>10 (strong)
24,2.51613958486703,-0.720042967389109,0.236365568743363,114.326267199021,-226.652534398042,-220.160043819266,-0.174206015514416,-2.46554777040754,0.335506169185282,-1594.24551347735,3190.4910269547,3196.98351753348,B,F,D,0.099140600441919,3417.14356135274,3417.14356135274,exp,>10 (strong)
25,4.4659467716504,-0.120778694160836,0.162782835980495,1349.34467364363,-2696.68934728727,-2690.55664079757,-0.149689232493701,-0.473384429241978,0.186640854937963,883.782349294614,-1765.56469858923,-1759.43199209953,B,F,D,0.0238580189574678,931.12464869804,931.12464869804,exp,>10 (strong)
26,1.95663760136677,-0.769011823728143,0.179640269528535,820.30753382694,-1638.61506765388,-1632.69425797459,-0.182186171260214,-4.04118241468271,0.303252602381829,-621.713802567199,1245.4276051344,1251.34841481369,B,F,D,0.123612332853294,2884.04267278828,2884.04267278828,exp,>10 (strong)
27,3.93896986824139,-0.0129408351532454,0.156597285673545,2937.62538212928,-5873.25076425856,-5866.43331833752,-0.180073068702723,-0.24556660063831,0.173650351817235,2239.79912182847,-4477.59824365694,-4470.7807977359,A,M,D,0.0170530661436903,1395.65252060162,1395.65252060162,exp,>10 (strong)
28,4.57463777339647,-0.0978086654284465,0.199792622267617,515.234007688833,-1028.46801537767,-1022.57071890507,-0.137292931854618,-0.42493308508793,0.227621538763779,164.4461928949,-326.8923857898,-320.995089317204,A,M,D,0.027828916496162,701.575629587866,701.575629587865,exp,>10 (strong)
29,4.44934188215208,-1.31425524094596,0.172520626756014,1250.69488208933,-2499.38976417866,-2493.17448721972,-0.106153463075342,-3.44674878077444,0.2391424623109,43.4667189288685,-84.933437857737,-78.7181608988003,A,M,D,0.0666218355548857,2414.45632632092,2414.45632632092,exp,>10 (strong)
30,5.92336501516123,-0.499659177809135,0.186202711142863,423.884967827761,-845.769935655523,-840.380989557904,-0.0926960713977505,-1.39603796118489,0.235362117393493,44.8048349644311,-87.6096699288622,-82.2207238312438,A,M,D,0.0491594062506302,758.16026572666,758.16026572666,exp,>10 (strong)
31,1.68970984408724,-0.362313944058954,0.13888383821865,2921.9063312554,-5841.8126625108,-5835.24420602544,-0.247943804869942,-3.3371815245971,0.247808905100548,-125.476022009236,252.952044018472,259.520500503825,B,M,D,0.108925066881898,6094.76470652927,6094.76470652927,exp,>10 (strong)
32,1.64604463347715,-0.520737821689867,0.167258163719242,2144.76799750532,-4287.53599501065,-4280.86900345414,-0.270118055668147,-2.41249763454017,0.250551109565295,-202.38663746714,406.773274934279,413.440266490784,B,M,D,0.0832929458460528,4694.30926994493,4694.30926994493,exp,>10 (strong)
